2018-04-16 22:00:04.938258	https://www.encodeproject.org/report/?type=Target&investigated_as=transcription+factor&organism.scientific_name=Homo+sapiens&field=label&field=gene_name&limit=all
Target	Gene name
CRTC2	CRTC2
eGFP-ESRRA	ESRRA
eGFP-IRX2	IRX2
PRDM4	PRDM4
MBD2	MBD2
RXRB	RXRB
KDM6A	KDM6A
NCOA6	NCOA6
BRF1	BRF1
SUPT3H	SUPT3H
RSF1	RSF1
TFE3	TFE3
TLE2	TLE2
AP5Z1	AP5Z1
HMGA1	HMGA1
MYCL	MYCL
BRD4	BRD4
ABTB1	ABTB1
ZNF518A	ZNF518A
AKNA	AKNA
BRD8	BRD8
ZNF580	ZNF580
eGFP-MCM9	MCM9
ARID1A	ARID1A
eGFP-LMX1B	LMX1B
eGFP-RELA	RELA
SIRT2	SIRT2
ZNF776	ZNF776
ARID5B	ARID5B
SMARCAL1	SMARCAL1
eGFP-MED16	MED16
FIP1L1	FIP1L1
CNOT10	CNOT10
CAMTA1	CAMTA1
eGFP-MLXIPL	MLXIPL
HOXD3	HOXD3
ZNF146	ZNF146
WWTR1	WWTR1
ZNF239	ZNF239
CDKN1B	CDKN1B
eGFP-ELF1	ELF1
EED	EED
eGFP-FOXO3	FOXO3
NCOA4	NCOA4
eGFP-ADNP	ADNP
CDKN2A	CDKN2A
eGFP-KLF1	KLF1
IRF5	IRF5
eGFP-ORC4	ORC4
MORF4L1	MORF4L1
MTF2	MTF2
eGFP-HSF1	HSF1
MAFB	MAFB
eGFP-MCM5	MCM5
eGFP-NR0B1	NR0B1
ZNF180	ZNF180
L3MBTL1	L3MBTL1
eGFP-HMGB2	HMGB2
CBX1	CBX1
eGFP-COMMD3-BMI1	COMMD3-BMI1
BCL6	BCL6
eGFP-ILF3	ILF3
KDM5C	KDM5C
TADA2A	TADA2A
HMGA2	HMGA2
PAX6	PAX6
eGFP-GATA1	GATA1
KDM4B	KDM4B
BCL10	BCL10
eGFP-HDAC8	HDAC8
SETD8	SETD8
eGFP-KLF13	KLF13
eGFP-PER3	PER3
HMGN2	HMGN2
eGFP-MCM6	MCM6
ADNP2	ADNP2
eGFP-MYBL2	MYBL2
SMARCA5	SMARCA5
AES	AES
RBBP4	RBBP4
RBM15	RBM15
TGIF1	TGIF1
ZEB2	ZEB2
EWSR1	EWSR1
XRCC5	XRCC5
ATRX	ATRX
C10orf2	C10orf2
CARHSP1	CARHSP1
CREB3L2	CREB3L2
eGFP-ETS2	ETS2
AHCTF1	AHCTF1
ELF2	ELF2
SF3B3	SF3B3
