eGFP-ILK	ILK
ATAD3A	ATAD3A
GON4L	GON4L
HIPK1	HIPK1
HOXD4	HOXD4
PHF20	PHF20
IKZF4	IKZF4
NR1H4	NR1H4
eGFP-MCM2	MCM2
MEF2D	MEF2D
ASH2L	ASH2L
eGFP-NFYB	NFYB
L3MBTL2	L3MBTL2
ZNF275	ZNF275
eGFP-IRX3	IRX3
eGFP-SMAD4	SMAD4
AGO2	AGO2
eGFP-HDAC3	HDAC3
eGFP-HDAC11	HDAC11
eGFP-HDAC10	HDAC10
eGFP-IRX5	IRX5
TCF7L1	TCF7L1
eGFP-NFATC1	NFATC1
eGFP-SMAD2	SMAD2
eGFP-ID3	ID3
NELFB	NELFB
eGFP-SMAD3	SMAD3
eGFP-JUND	JUND
ELF4	ELF4
PRPF4	PRPF4
ELK3	ELK3
CBFB	CBFB
eGFP-STAT1	STAT1
eGFP-LZTR1	LZTR1
ELK4	ELK4
MBD3	MBD3
UTY	UTY
MXD1	MXD1
eGFP-MAML1	MAML1
eGFP-KLF16	KLF16
ZNF512	ZNF512
eGFP-MAX	MAX
RAD51	RAD51
eGFP-MCM7	MCM7
eGFP-MCM3	MCM3
SNAPC5	SNAPC5
TAF10	TAF10
RXRG	RXRG
eGFP-NAP1L2	NAP1L2
NLRP2	NLRP2
eGFP-ATF3	ATF3
TFCP2	TFCP2
TRIM22	TRIM22
eGFP-IRF1	IRF1
eGFP-MCM8	MCM8
eGFP-CEBPB	CEBPB
eGFP-CD36	CD36
eGFP-MLLT1	MLLT1
MYOD1	MYOD1
MXD4	MXD4
NFKB2	NFKB2
GFI1B	GFI1B
PIM2	PIM2
eGFP-ATF1	ATF1
PROX1	PROX1
eGFP-E2F4	E2F4
MCM2	MCM2
MEN1	MEN1
PAX8	PAX8
TERF2IP	TERF2IP
eGFP-NR2F2	NR2F2
NR2C1	NR2C1
eGFP-MECP2	MECP2
LMNA	LMNA
DR1	DR1
SATB2	SATB2
RBX1	RBX1
SUB1	SUB1
HOXD11	HOXD11
PRMT5	PRMT5
PRMT6	PRMT6
eGFP-FBXL19	FBXL19
MYF5	MYF5
eGFP-FOXD2	FOXD2
OPA1	OPA1
E4F1	E4F1
ZNF195	ZNF195
NR0B1	NR0B1
eGFP-TADA3	TADA3
ZBTB12	ZBTB12
eGFP-NFE2	NFE2
eGFP-TAF1A	TAF1A
eGFP-AHR	AHR
ZNF770	ZNF770
eGFP-TBC1D2B	TBC1D2B
BATF2	BATF2
SOX12	SOX12
HDGF	HDGF
THAP3	THAP3
POLR2L	POLR2L
eGFP-TLE2	TLE2
eGFP-CNOT6	CNOT6
MAF	MAF
HNRNPLL	HNRNPLL
ZFP91	ZFP91
ZNF534	ZNF534
eGFP-YAF2	YAF2
RORC	RORC
eGFP-YEATS4	YEATS4
SP6	SP6
TFDP2	TFDP2
eGFP-E2F6	E2F6
THAP6	THAP6
eGFP-ZFP90	ZFP90
ZNF581	ZNF581
ZNF362	ZNF362
NR1I3	NR1I3
eGFP-FOXA1	FOXA1
ZNF672	ZNF672
NR2E3	NR2E3
AHR	AHR
PRDM2	PRDM2
ZNF692	ZNF692
E2F8	E2F8
eGFP-ZNF227	ZNF227
FEV	FEV
ANKZF1	ANKZF1
GTF2H2	GTF2H2
TONSL	TONSL
KLF15	KLF15
ZNHIT3	ZNHIT3
BACH1	BACH1
WBP11	WBP11
eGFP-ZNF430	ZNF430
eGFP-ZNF433	ZNF433
CREB3L3	CREB3L3
ZNF408	ZNF408
eGFP-PGBD1	PGBD1
eGFP-ZNF444	ZNF444
DNMT1	DNMT1
FOXQ1	FOXQ1
eGFP-SREBF2	SREBF2
HOXB5	HOXB5
eGFP-PHF19	PHF19
eGFP-ATF6B	ATF6B
NR5A1	NR5A1
HOXC10	HOXC10
PBX4	PBX4
ONECUT1	ONECUT1
HOXC4	HOXC4
PPARD	PPARD
ZFPM1	ZFPM1
RERE	RERE
eGFP-E2F1	E2F1
BOLA2B	BOLA2B
SMARCD2	SMARCD2
RHOXF2	RHOXF2
ZNF276	ZNF276
SOX17	SOX17
TAF9	TAF9
XRCC3	XRCC3
ERF	ERF
HLF	HLF
UNKL	UNKL
eGFP-MBD1	MBD1
WT1	WT1
ZNF768	ZNF768
HOXD10	HOXD10
HSBP1	HSBP1
ZNF33A	ZNF33A
eGFP-NELFB	NELFB
FOXA3	FOXA3
eGFP-NFIL3	NFIL3
TBX3	TBX3
HES6	HES6
ETV5	ETV5
PITX2	PITX2
eGFP-NKRF	NKRF
RORA	RORA
ZNF292	ZNF292
SERTAD1	SERTAD1
ZBED4	ZBED4
ZNF503	ZNF503
E2F5	E2F5
ZNF318	ZNF318
FOXI1	FOXI1
TCF25	TCF25
HOXD12	HOXD12
eGFP-ABT1	ABT1
ZNF704	ZNF704
ZNF24	ZNF24
ZNF592	ZNF592
KLF11	KLF11
ZNF791	ZNF791
NFE2L1	NFE2L1
CRAMP1L	CRAMP1L
ATM	ATM
NFXL1	NFXL1
MCM4	MCM4
RBM34	RBM34
MCM6	MCM6
CENPT	CENPT
SNAPC4	SNAPC4
RBM39	RBM39
DEK	DEK
ZUFSP	ZUFSP
eGFP-HOXA9	HOXA9
HDAC5	HDAC5
HOXA5	HOXA5
SNRNP70	SNRNP70
eGFP-COPS5	COPS5
HINFP	HINFP
HOXB2	HOXB2
HOXB6	HOXB6
THRAP3	THRAP3
HOXC6	HOXC6
KLF8	KLF8
LCOR	LCOR
HOXD1	HOXD1
ZBTB45	ZBTB45
MGA	MGA
ZBTB5	ZBTB5
LYL1	LYL1
NR1H3	NR1H3
ZFPM2	ZFPM2
NR4A3	NR4A3
ZNF251	ZNF251
NR1H2	NR1H2
ZNF518B	ZNF518B
ORC2	ORC2
ZNF576	ZNF576
PYGO2	PYGO2
ZNF740	ZNF740
TBX15	TBX15
MIER1	MIER1
GZF1	GZF1
MXD3	MXD3
HOXC11	HOXC11
MYB	MYB
NFE2L3	NFE2L3
MZF1	MZF1
eGFP-FOXC1	FOXC1
ARNT	ARNT
RCOR3	RCOR3
ZNF410	ZNF410
eGFP-GFI1	GFI1
eGFP-ZNF282	ZNF282
SP5	SP5
ZFP64	ZFP64
MYSM1	MYSM1
eGFP-GTF2E2	GTF2E2
ZNF710	ZNF710
SNIP1	SNIP1
ATF2	ATF2
SOX5	SOX5
SSB	SSB
MCM9	MCM9
eGFP-ZNF3	ZNF3
RFX7	RFX7
MIXL1	MIXL1
eGFP-ZNF302	ZNF302
NR0B2	NR0B2
eGFP-H1FX	H1FX
eGFP-GTF3C5	GTF3C5
SMARCE1	SMARCE1
eGFP-KMT2E	KMT2E
SMAD9	SMAD9
ATF6	ATF6
ZFHX3	ZFHX3
eGFP-ZNF311	ZNF311
HMX3	HMX3
HOXA3	HOXA3
ZNF451	ZNF451
TBX18	TBX18
eGFP-ORC2	ORC2
THAP7	THAP7
eGFP-ZNF41	ZNF41
CREB3L1	CREB3L1
LCORL	LCORL
HEY1	HEY1
eGFP-HIF1AN	HIF1AN
FOXJ3	FOXJ3
eGFP-HIST1H1B	HIST1H1B
ZBTB40	ZBTB40
HIC1	HIC1
SLC30A9	SLC30A9
ZC3H3	ZC3H3
YBX3	YBX3
eGFP-PER1	PER1
TFB2M	TFB2M
ZFP62	ZFP62
PSIP1	PSIP1
YEATS2	YEATS2
eGFP-SRSF2	SRSF2
ZNF280A	ZNF280A
HMG20B	HMG20B
eGFP-SSRP1	SSRP1
ZBTB48	ZBTB48
eGFP-PKNOX1	PKNOX1
ZC3H15	ZC3H15
CREBZF	CREBZF
eGFP-TBX3	TBX3
ID4	ID4
TOX4	TOX4
eGFP-BRD7	BRD7
RREB1	RREB1
eGFP-BZW1	BZW1
ZNF629	ZNF629
PKN2	PKN2
eGFP-E2F8	E2F8
eGFP-CIAO1	CIAO1
REPIN1	REPIN1
eGFP-TSC22D2	TSC22D2
PLRG1	PLRG1
eGFP-CREBZF	CREBZF
LMO4	LMO4
eGFP-DEAF1	DEAF1
eGFP-POLR3H	POLR3H
eGFP-GTF3A	GTF3A
NR4A2	NR4A2
eGFP-ADNP2	ADNP2
CASP8AP2	CASP8AP2
eGFP-ASB1	ASB1
eGFP-BCL6B	BCL6B
PAX3	PAX3
ZFPL1	ZFPL1
eGFP-TCF7	TCF7
eGFP-CNBP	CNBP
eGFP-TMF1	TMF1
eGFP-ETS1	ETS1
TAF15	TAF15
eGFP-TRIM25	TRIM25
ADNP	ADNP
eGFP-TRIM29	TRIM29
AEBP2	AEBP2
eGFP-CRABP2	CRABP2
HIVEP1	HIVEP1
POLR2G	POLR2G
eGFP-TWIST2	TWIST2
SAFB	SAFB
eGFP-CTDP1	CTDP1
eGFP-XRCC3	XRCC3
PHB2	PHB2
eGFP-FOXO4	FOXO4
eGFP-HMGN5	HMGN5
ARID3A	ARID3A
PREB	PREB
eGFP-GATA3	GATA3
eGFP-CDKN1B	CDKN1B
eGFP-HOXD4	HOXD4
ARNTL2	ARNTL2
eGFP-ESR1	ESR1
MEIS2	MEIS2
eGFP-GTF2A2	GTF2A2
eGFP-FOS	FOS
eGFP-KRBOX4	KRBOX4
eGFP-LDB1	LDB1
NR1I2	NR1I2
eGFP-H1F0	H1F0
eGFP-MAFK	MAFK
PCGF6	PCGF6
eGFP-HDAC5	HDAC5
PPRC1	PPRC1
PHB	PHB
eGFP-MED14	MED14
PHF10	PHF10
eGFP-ZNF565	ZNF565
eGFP-ZNF578	ZNF578
POLR1E	POLR1E
eGFP-MEF2B	MEF2B
eGFP-ZNF626	ZNF626
eGFP-BACH1	BACH1
eGFP-CCNE1	CCNE1
eGFP-MTF2	MTF2
eGFP-ZNF695	ZNF695
MSX1	MSX1
eGFP-MYB	MYB
BNC1	BNC1
eGFP-JUNB	JUNB
ZNF385A	ZNF385A
eGFP-NCOR1	NCOR1
ZNF516	ZNF516
PTTG1	PTTG1
NR6A1	NR6A1
PRPF4B	PRPF4B
BOLA2	BOLA2
BOLA3	BOLA3
ZNF789	ZNF789
SMARCD1	SMARCD1
TEF	TEF
ZNF775	ZNF775
LBX2	LBX2
ZSCAN21	ZSCAN21
SP140L	SP140L
eGFP-HNRNPR	HNRNPR
RBM17	RBM17
ZBTB38	ZBTB38
eGFP-KMT2A	KMT2A
ZFP36	ZFP36
TOX3	TOX3
eGFP-MED6	MED6
eGFP-NELFA	NELFA
ETV1	ETV1
ALX1	ALX1
MECOM	MECOM
eGFP-NEIL2	NEIL2
MEIS3	MEIS3
eGFP-ZBTB45	ZBTB45
eGFP-IRF2BP1	IRF2BP1
eGFP-KANK2	KANK2
RLIM	RLIM
eGFP-ZFP41	ZFP41
THAP4	THAP4
FOXP2	FOXP2
eGFP-ZHX3	ZHX3
TRPS1	TRPS1
eGFP-EED	EED
ZBTB24	ZBTB24
eGFP-MCM4	MCM4
GRHL1	GRHL1
IRX3	IRX3
DBP	DBP
eGFP-FAM171B	FAM171B
HOXB7	HOXB7
eGFP-ARNT	ARNT
eGFP-FHL2	FHL2
eGFP-MSX1	MSX1
HOXB3	HOXB3
AFF4	AFF4
GATA3	GATA3
eGFP-ZNF234	ZNF234
GATA6	GATA6
eGFP-FOXM1	FOXM1
ARNTL	ARNTL
GLI1	GLI1
U2AF2	U2AF2
IKZF5	IKZF5
eGFP-GATAD2A	GATAD2A
eGFP-GLI4	GLI4
eGFP-GTF2F1	GTF2F1
eGFP-PBXIP1	PBXIP1
eGFP-BTAF1	BTAF1
eGFP-SP4	SP4
eGFP-ZNF324	ZNF324
eGFP-PHF7	PHF7
eGFP-ZNF350	ZNF350
eGFP-SUV39H2	SUV39H2
HNF1B	HNF1B
ATXN7	ATXN7
FOXA2	FOXA2
eGFP-POLR2J2	POLR2J2
KLF14	KLF14
BARX2	BARX2
eGFP-AEBP2	AEBP2
BBX	BBX
eGFP-NR2E1	NR2E1
BCL11A	BCL11A
eGFP-NR3C1	NR3C1
eGFP-ZNF467	ZNF467
eGFP-AIP	AIP
BCLAF1	BCLAF1
eGFP-SNAPC2	SNAPC2
eGFP-SREBF1	SREBF1
FOSL1	FOSL1
eGFP-BARX2	BARX2
eGFP-HOXC13	HOXC13
eGFP-ZNF641	ZNF641
BMI1	BMI1
eGFP-HIST1H2BD	HIST1H2BD
eGFP-NMI	NMI
HIVEP2	HIVEP2
eGFP-ZNF764	ZNF764
eGFP-NR1H2	NR1H2
eGFP-PHF8	PHF8
eGFP-IFI16	IFI16
FOXK2	FOXK2
eGFP-NR4A3	NR4A3
FOXN2	FOXN2
eGFP-PAPOLG	PAPOLG
GABPB1	GABPB1
eGFP-NDN	NDN
FOSL2	FOSL2
eGFP-PIAS3	PIAS3
eGFP-ALX3	ALX3
eGFP-NFE2L3	NFE2L3
CEBPB	CEBPB
eGFP-LHX2	LHX2
eGFP-POLR1C	POLR1C
eGFP-POLR1E	POLR1E
CREB1	CREB1
FOXP4	FOXP4
FUBP1	FUBP1
ALX4	ALX4
eGFP-PAXBP1	PAXBP1
FOXM1	FOXM1
eGFP-ARHGAP35	ARHGAP35
eGFP-ARID3B	ARID3B
eGFP-AGAP3	AGAP3
CREBBP	CREBBP
eGFP-NR2F6	NR2F6
eGFP-ARID5B	ARID5B
eGFP-ANKRD1	ANKRD1
eGFP-ARNTL	ARNTL
CIC	CIC
eGFP-PIR	PIR
eGFP-ANKRD54	ANKRD54
eGFP-PNN	PNN
CTCF	CTCF
FOXP3	FOXP3
eGFP-ATM	ATM
eGFP-APC	APC
eGFP-CENPB	CENPB
eGFP-BAZ1A	BAZ1A
CREB3L4	CREB3L4
eGFP-ARID1A	ARID1A
eGFP-ANKRD49	ANKRD49
eGFP-BAZ1B	BAZ1B
CREM	CREM
eGFP-CREG1	CREG1
ASCL2	ASCL2
DLX1	DLX1
eGFP-ASB12	ASB12
eGFP-CBX4	CBX4
eGFP-ASB6	ASB6
GATA2	GATA2
eGFP-CITED2	CITED2
eGFP-E2F2	E2F2
GRHL3	GRHL3
eGFP-ETV4	ETV4
eGFP-EGR1	EGR1
eGFP-DLX1	DLX1
BHLHE22	BHLHE22
GTF2F1	GTF2F1
FUS	FUS
HOXA9	HOXA9
GATAD1	GATAD1
E2F1	E2F1
MCM8	MCM8
eGFP-ERCC6	ERCC6
eGFP-FBXO7	FBXO7
NFKB1	NFKB1
CREB3	CREB3
E2F6	E2F6
GLI3	GLI3
eGFP-ANKRA2	ANKRA2
eGFP-BOLA1	BOLA1
CREB5	CREB5
CREBL2	CREBL2
RBM22	RBM22
eGFP-HNF1B	HNF1B
eGFP-ZNF606	ZNF606
eGFP-HSF4	HSF4
HOXA1	HOXA1
SOX6	SOX6
ZBTB17	ZBTB17
eGFP-CALCOCO1	CALCOCO1
eGFP-CBFA2T2	CBFA2T2
ZNF521	ZNF521
eGFP-ZNF83	ZNF83
BRF2	BRF2
eGFP-CREB1	CREB1
BRCA1	BRCA1
eGFP-KLF14	KLF14
eGFP-HMGB1	HMGB1
eGFP-CHD4	CHD4
CTCFL	CTCFL
CTNNB1	CTNNB1
eGFP-MSL3	MSL3
CASZ1	CASZ1
UBN1	UBN1
CEBPA	CEBPA
eGFP-CHURC1	CHURC1
eGFP-NFKB1	NFKB1
eGFP-L3MBTL3	L3MBTL3
CEBPG	CEBPG
FOXL2	FOXL2
eGFP-CTBP1	CTBP1
eGFP-NFKB2	NFKB2
HIPK2	HIPK2
eGFP-CSRP2	CSRP2
eGFP-CTCFL	CTCFL
eGFP-DDX20	DDX20
CCNT2	CCNT2
YAP1	YAP1
eGFP-ORC1	ORC1
DPF2	DPF2
LMNB1	LMNB1
NFKBIA	NFKBIA
PHC2	PHC2
eGFP-ORC6	ORC6
CHD2	CHD2
eGFP-GTF2B	GTF2B
E2F3	E2F3
CLOCK	CLOCK
FOXP1	FOXP1
AGO1	AGO1
ZNF317	ZNF317
eGFP-PDLIM4	PDLIM4
CUX1	CUX1
eGFP-ILF2	ILF2
E2F7	E2F7
CXXC1	CXXC1
eGFP-GLI1	GLI1
DDIT3	DDIT3
eGFP-SUZ12	SUZ12
eGFP-OVOL1	OVOL1
EBF1	EBF1
eGFP-FOXO1	FOXO1
eGFP-ERCC3	ERCC3
SIX1	SIX1
eGFP-GMEB2	GMEB2
eGFP-ELK1	ELK1
eGFP-HDGF	HDGF
eGFP-GATA2	GATA2
eGFP-ORC5	ORC5
eGFP-HIF1A	HIF1A
CNOT6	CNOT6
eGFP-ETV1	ETV1
eGFP-HKR1	HKR1
EGR1	EGR1
eGFP-AFF4	AFF4
RNF113A	RNF113A
FOXO1	FOXO1
EGR3	EGR3
ZFYVE20	ZFYVE20
BCL3	BCL3
eGFP-FOXK2	FOXK2
eGFP-ETV3	ETV3
eGFP-NR4A1	NR4A1
eGFP-HIST1H2BG	HIST1H2BG
eGFP-ZNF221	ZNF221
FOXO3	FOXO3
eGFP-HMGN2	HMGN2
eGFP-FOSB	FOSB
eGFP-GTF3C1	GTF3C1
BDP1	BDP1
eGFP-FOXD3	FOXD3
AIRE	AIRE
PELP1	PELP1
eGFP-ANKRD55	ANKRD55
eGFP-FOXJ3	FOXJ3
UHRF1	UHRF1
CHAMP1	CHAMP1
eGFP-APBB1	APBB1
eGFP-ING1	ING1
eGFP-ZNF280A	ZNF280A
ASH1L	ASH1L
ASXL1	ASXL1
eGFP-HHEX	HHEX
eGFP-APEX1	APEX1
BOLA1	BOLA1
HOXB9	HOXB9
ATF4	ATF4
eGFP-ARID3A	ARID3A
eGFP-ZSCAN22	ZSCAN22
eGFP-DR1	DR1
eGFP-HMGA1	HMGA1
eGFP-HMGXB3	HMGXB3
BUD31	BUD31
eGFP-FOXA2	FOXA2
eGFP-COPS2	COPS2
eGFP-HOXA5	HOXA5
eGFP-CSDE1	CSDE1
eGFP-HOXC6	HOXC6
eGFP-H2AFZ	H2AFZ
ELK1	ELK1
eGFP-LEF1	LEF1
GTF3A	GTF3A
eGFP-JDP2	JDP2
CBX8	CBX8
eGFP-ECD	ECD
eGFP-INTS12	INTS12
eGFP-ZKSCAN3	ZKSCAN3
NR1D1	NR1D1
eGFP-MED12	MED12
PLAGL1	PLAGL1
ELF1	ELF1
CDK9	CDK9
eGFP-REL	REL
eGFP-TAF1L	TAF1L
eGFP-ANKS3	ANKS3
ANP32A	ANP32A
ELF3	ELF3
eGFP-TAF6L	TAF6L
eGFP-TAL2	TAL2
ZNF687	ZNF687
CEBPD	CEBPD
CAMTA2	CAMTA2
eGFP-TARDBP	TARDBP
ESR1	ESR1
eGFP-TFCP2	TFCP2
MTERF	MTERF
ETS1	ETS1
CEBPZ	CEBPZ
ESRRA	ESRRA
CHD1	CHD1
CHD4	CHD4
RING1	RING1
FOXO4	FOXO4
eGFP-NPM1	NPM1
ZNF22	ZNF22
EZH2	EZH2
FOS	FOS
FLI1	FLI1
CBX4	CBX4
eGFP-NR1D1	NR1D1
eGFP-ARNTL2	ARNTL2
eGFP-BATF3	BATF3
eGFP-NR1H3	NR1H3
GABPA	GABPA
GATA1	GATA1
GATA4	GATA4
GRAMD4	GRAMD4
FOSB	FOSB
eGFP-DNMT3A	DNMT3A
eGFP-BDP1	BDP1
eGFP-ZNF584	ZNF584
eGFP-BHLHE40	BHLHE40
FOXH1	FOXH1
eGFP-HNRNPD	HNRNPD
DROSHA	DROSHA
eGFP-BCL6	BCL6
GFI1	GFI1
BHLHE40	BHLHE40
GLIS2	GLIS2
eGFP-IKBKG	IKBKG
GMEB2	GMEB2
eGFP-ZNF649	ZNF649
eGFP-BLZF1	BLZF1
GRHL2	GRHL2
GLI2	GLI2
eGFP-BRD8	BRD8
eGFP-IRF7	IRF7
eGFP-BRCA1	BRCA1
eGFP-ZNF92	ZNF92
eGFP-KCNIP3	KCNIP3
eGFP-KDM5B	KDM5B
eGFP-NR2C2	NR2C2
eGFP-HMBOX1	HMBOX1
eGFP-HES2	HES2
eGFP-OSR2	OSR2
eGFP-HMGA2	HMGA2
EGR2	EGR2
PPARG	PPARG
eGFP-PBX4	PBX4
eGFP-PCGF2	PCGF2
RLF	RLF
CHD7	CHD7
eGFP-MYBBP1A	MYBBP1A
SP110	SP110
GTF2B	GTF2B
eGFP-PHF13	PHF13
eGFP-NCOA6	NCOA6
eGFP-HOXB1	HOXB1
eGFP-BTF3	BTF3
CIZ1	CIZ1
eGFP-HOXB7	HOXB7
ZDHHC7	ZDHHC7
GTF3C2	GTF3C2
ZMAT2	ZMAT2
eGFP-POLR3C	POLR3C
ETS2	ETS2
ETV4	ETV4
eGFP-POU2AF1	POU2AF1
TRIP13	TRIP13
ZBTB43	ZBTB43
eGFP-ZNF213	ZNF213
eGFP-CREB3L4	CREB3L4
AFF1	AFF1
eGFP-CREBL2	CREBL2
eGFP-KDM5C	KDM5C
ARHGAP35	ARHGAP35
eGFP-MAFF	MAFF
E2F2	E2F2
eGFP-CTNNBIP1	CTNNBIP1
RBM14	RBM14
ZNF83	ZNF83
ATF3	ATF3
E2F4	E2F4
eGFP-GTF3C2	GTF3C2
eGFP-DAZAP2	DAZAP2
ATF5	ATF5
eGFP-EYA3	EYA3
eGFP-NFE2L1	NFE2L1
ATF7	ATF7
SSX1	SSX1
eGFP-NFX1	NFX1
eGFP-DEK	DEK
eGFP-ZNF37A	ZNF37A
eGFP-FOXI1	FOXI1
eGFP-WBP11	WBP11
eGFP-NFYC	NFYC
EP300	EP300
ETV6	ETV6
eGFP-DAXX	DAXX
eGFP-NOTCH2	NOTCH2
eGFP-NAA15	NAA15
ZKSCAN5	ZKSCAN5
EPAS1	EPAS1
ZNF33B	ZNF33B
eGFP-DMBX1	DMBX1
ZNF428	ZNF428
eGFP-NCOA4	NCOA4
ZNF691	ZNF691
eGFP-NR1I2	NR1I2
ESRRB	ESRRB
eGFP-EHF	EHF
eGFP-YBX2	YBX2
FOXN3	FOXN3
eGFP-ZBTB38	ZBTB38
U2AF1	U2AF1
eGFP-DRAP1	DRAP1
SALL2	SALL2
eGFP-ZNF417	ZNF417
ZNF395	ZNF395
eGFP-ZRANB2	ZRANB2
eGFP-ZMYND11	ZMYND11
EZH1	EZH1
eGFP-KLF6	KLF6
eGFP-ZNF134	ZNF134
eGFP-EPAS1	EPAS1
TBX1	TBX1
eGFP-KLF8	KLF8
eGFP-ZNF143	ZNF143
eGFP-NR5A1	NR5A1
THRA	THRA
eGFP-L3MBTL1	L3MBTL1
eGFP-ZNF18	ZNF18
CBX2	CBX2
eGFP-HOXC12	HOXC12
CBX3	CBX3
eGFP-PBX2	PBX2
eGFP-PER2	PER2
CCNE1	CCNE1
CCNT1	CCNT1
eGFP-ZNF225	ZNF225
eGFP-JMY	JMY
CDC5L	CDC5L
FOXA1	FOXA1
eGFP-MEN1	MEN1
eGFP-POLR3D	POLR3D
eGFP-KHSRP	KHSRP
eGFP-ZNF292	ZNF292
HCFC1	HCFC1
eGFP-GSC	GSC
ATF1	ATF1
eGFP-NFIX	NFIX
eGFP-HCFC1	HCFC1
HDAC1	HDAC1
eGFP-MAF	MAF
eGFP-CBFB	CBFB
eGFP-CBX2	CBX2
ARID2	ARID2
HDAC6	HDAC6
ARNT2	ARNT2
eGFP-ASCC2	ASCC2
eGFP-HSF2	HSF2
eGFP-ID2	ID2
HAND2	HAND2
ASCL1	ASCL1
CTBP1	CTBP1
eGFP-BRPF3	BRPF3
CTBP2	CTBP2
eGFP-ELF2	ELF2
eGFP-NFRKB	NFRKB
eGFP-PCBD1	PCBD1
eGFP-CDKN1A	CDKN1A
DEAF1	DEAF1
eGFP-LYL1	LYL1
BAZ2A	BAZ2A
eGFP-CREB3L1	CREB3L1
eGFP-CREBBP	CREBBP
eGFP-DMTF1	DMTF1
eGFP-CTNNB1	CTNNB1
ATF6B	ATF6B
BAZ2B	BAZ2B
DMTF1	DMTF1
eGFP-ZNF331	ZNF331
eGFP-HDAC1	HDAC1
eGFP-EAF1	EAF1
DRAP1	DRAP1
BCOR	BCOR
BATF	BATF
eGFP-HIST1H1D	HIST1H1D
BMP2	BMP2
eGFP-PHF1	PHF1
BNC2	BNC2
RBM25	RBM25
eGFP-GLIS2	GLIS2
eGFP-HOXB5	HOXB5
eGFP-PHF6	PHF6
HIF1A	HIF1A
APTX	APTX
eGFP-HOXD10	HOXD10
eGFP-CTR9	CTR9
BSX	BSX
eGFP-ONECUT1	ONECUT1
eGFP-DDX54	DDX54
eGFP-KAT5	KAT5
eGFP-PARP1	PARP1
eGFP-EDF1	EDF1
HES1	HES1
eGFP-BTG2	BTG2
eGFP-EPC1	EPC1
eGFP-HES4	HES4
eGFP-C1D	C1D
BHLHA9	BHLHA9
CD36	CD36
eGFP-KMT2D	KMT2D
CDK3	CDK3
eGFP-CBX3	CBX3
CDX1	CDX1
ZNF706	ZNF706
ZNF93	ZNF93
eGFP-MED21	MED21
CDX2	CDX2
eGFP-CCRN4L	CCRN4L
eGFP-GTF3C3	GTF3C3
RBFOX2	RBFOX2
eGFP-CERS2	CERS2
DDX20	DDX20
eGFP-HINFP	HINFP
HOXC12	HOXC12
eGFP-MEF2A	MEF2A
KCMF1	KCMF1
eGFP-IKBKB	IKBKB
POLG	POLG
ADAMTS19	ADAMTS19
eGFP-HIST2H2BE	HIST2H2BE
HNRNPUL1	HNRNPUL1
AFF3	AFF3
eGFP-HMG20A	HMG20A
SAFB2	SAFB2
