HGNC ID	Approved Symbol	Previous Symbols	Synonyms	Entrez Gene ID(supplied by NCBI)	RefSeq(supplied by NCBI)	UniProt ID(supplied by UniProt)	Ensembl ID(supplied by Ensembl)
HGNC:5	A1BG			1	NM_130786	P04217	ENSG00000121410
HGNC:37133	A1BG-AS1	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	503538	NR_015380		ENSG00000268895
HGNC:24086	A1CF		ACF, ASP, ACF64, ACF65, APOBEC1CF	29974	NM_001198818	Q9NQ94	ENSG00000148584
HGNC:7	A2M		FWP007, S863-7, CPAMD5	2	NM_000014	P01023	ENSG00000175899
HGNC:27057	A2M-AS1			144571	NR_026971		ENSG00000245105
HGNC:23336	A2ML1	CPAMD9	FLJ25179, p170	144568	NM_001282424	A8K2U0	ENSG00000166535
HGNC:41022	A2ML1-AS1			100874108			ENSG00000256661
HGNC:41523	A2ML1-AS2			106478979			ENSG00000256904
HGNC:8	A2MP1	A2MP		3	NR_040112		ENSG00000256069
HGNC:30005	A3GALT2	A3GALT2P	IGBS3S, IGB3S	127550	NM_001080438	U3KPV4	ENSG00000184389
HGNC:18149	A4GALT	P1	A14GALT, Gb3S, P(k)	53947	NM_001318038	Q9NPC4	ENSG00000128274
HGNC:17968	A4GNT		alpha4GnT	51146	NM_016161	Q9UNA3	ENSG00000118017
HGNC:13666	AAAS			8086	NM_001173466	Q9NRG9	ENSG00000094914
HGNC:21298	AACS		FLJ12389, SUR-5, ACSF1	65985	NM_001319839	Q86V21	ENSG00000081760
HGNC:18226	AACSP1	AACSL		729522	NR_024035		ENSG00000250420
HGNC:17	AADAC		DAC, CES5A1	13	NM_001086	P22760	ENSG00000114771
HGNC:24427	AADACL2		MGC72001	344752	NM_207365	Q6P093	ENSG00000197953
HGNC:50301	AADACL2-AS1			101928142	NR_110202		ENSG00000242908
HGNC:32037	AADACL3		OTTHUMG00000001887	126767	NM_001103170	Q5VUY0	ENSG00000188984
HGNC:32038	AADACL4		OTTHUMG00000001889	343066	NM_001013630	Q5VUY2	ENSG00000204518
HGNC:50305	AADACP1			201651	NR_026915		ENSG00000240602
HGNC:17929	AADAT		KATII, KAT2, KYAT2	51166	NM_001286682	Q8N5Z0	ENSG00000109576
HGNC:16881	AAED1	C9orf21		195827	NM_153698	Q7RTV5	ENSG00000158122
HGNC:25662	AAGAB		FLJ11506, p34	79719	NM_001271885	Q6PD74	ENSG00000103591
HGNC:19679	AAK1		KIAA1048, DKFZp686K16132	22848	NM_014911	Q2M2I8	ENSG00000115977
HGNC:30205	AAMDC	C11orf67	PTD015, FLJ21035, CK067	28971	NM_001316957	Q9H7C9	ENSG00000087884
HGNC:18	AAMP			14	NM_001087	Q13685	ENSG00000127837
HGNC:19	AANAT		SNAT	15	NM_001088	Q16613	ENSG00000129673
HGNC:15886	AAR2	C20orf4	bA234K24.2	25980	NM_001271874	Q9Y312	ENSG00000131043
HGNC:33842	AARD	C8orf85	LOC441376	441376	NM_001025357	Q4LEZ3	ENSG00000205002
HGNC:20	AARS		CMT2N, AlaRS	16	NM_001605	P49588	ENSG00000090861
HGNC:21022	AARS2	AARSL	KIAA1270, bA444E17.1	57505	NM_020745	Q5JTZ9	ENSG00000124608
HGNC:28417	AARSD1		MGC2744	80755	NM_001261434	Q9BTE6	ENSG00000266967
HGNC:49894	AARSP1			106480683	NG_043271		ENSG00000249038
HGNC:23993	AASDH		NRPS998, LYS2, ACSF4	132949	NM_001286668	Q4L235	ENSG00000157426
HGNC:14235	AASDHPPT		LYS5, CGI-80, AASD-PPT, ACPS	60496	NM_015423	Q9NRN7	ENSG00000149313
HGNC:17366	AASS		LORSDH, LKRSDH	10157	NM_005763	Q9UDR5	ENSG00000008311
HGNC:51526	AATBC			284837	NR_026961		ENSG00000215458
HGNC:19235	AATF		DED, CHE-1, CHE1, BFR2	26574	NM_012138	Q9NY61	ENSG00000275700
HGNC:21	AATK		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	9625	NM_001080395	Q6ZMQ8	ENSG00000181409
HGNC:22	AAVS1		AAV	17			
HGNC:49667	ABALON		INXS	103021294	NR_131907		ENSG00000281376
HGNC:23	ABAT		GABAT	18	NM_000663	P80404	ENSG00000183044
HGNC:29	ABCA1	ABC1, HDLDT1	TGD	19	NM_005502	O95477	ENSG00000165029
HGNC:32	ABCA2	ABC2		20	NM_001606	Q9BZC7	ENSG00000107331
HGNC:33	ABCA3	ABC3	ABC-C, EST111653, LBM180	21	NM_001089	Q99758	ENSG00000167972
HGNC:34	ABCA4	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	24	NM_000350	P78363	ENSG00000198691
HGNC:35	ABCA5		EST90625	23461	NM_018672	Q8WWZ7	ENSG00000154265
HGNC:36	ABCA6		EST155051	23460	NM_080284	Q8N139	ENSG00000154262
HGNC:37	ABCA7		ABCX	10347	NM_019112	Q8IZY2	ENSG00000064687
HGNC:38	ABCA8		KIAA0822	10351	NM_001288985	O94911	ENSG00000141338
HGNC:39	ABCA9		EST640918	10350	NM_080283	Q8IUA7	ENSG00000154258
HGNC:39983	ABCA9-AS1			104355297	NR_126414		ENSG00000231749
HGNC:30	ABCA10		EST698739	10349	NM_080282	Q8WWZ4	ENSG00000154263
HGNC:31	ABCA11P	ABCA11	EST1133530, FLJ14297	79963	NR_002451	Q4W5N1	ENSG00000251595
HGNC:14637	ABCA12	ICR2B	DKFZP434G232, LI2	26154	NM_015657	Q86UK0	ENSG00000144452
HGNC:14638	ABCA13		FLJ33876, FLJ33951	154664	NM_152701	Q86UQ4	ENSG00000179869
HGNC:32972	ABCA17P			650655	NR_003574		ENSG00000238098
HGNC:40	ABCB1	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20	5243	NM_000927	P08183	ENSG00000085563
HGNC:45	ABCB4	PGY3, MDR3	MDR2, PFIC-3, GBD1	5244	NM_000443	P21439	ENSG00000005471
HGNC:46	ABCB5		EST422562, ABCB5beta, ABCB5alpha	340273	NM_001163941	Q2M3G0	ENSG00000004846
HGNC:47	ABCB6		EST45597, umat, MTABC3	10058	NM_001349828	Q9NP58	ENSG00000115657
HGNC:48	ABCB7	ABC7	EST140535, Atm1p, ASAT	22	NM_001271696	O75027	ENSG00000131269
HGNC:49	ABCB8		EST328128, M-ABC1, MABC1	11194	NM_001282291	Q9NUT2	ENSG00000197150
HGNC:50	ABCB9		EST122234	23457	NM_001243013	Q9NP78	ENSG00000150967
HGNC:41	ABCB10		EST20237, M-ABC2, MTABC2	23456	NM_012089	Q9NRK6	ENSG00000135776
HGNC:14114	ABCB10P1	ABCB10P, ABCB10P2	M-ABC2, MABC2	56476	NG_005041		ENSG00000274099
HGNC:31129	ABCB10P3			728248	NG_022122		ENSG00000261524
HGNC:31130	ABCB10P4			100132289	NG_022102		ENSG00000260053
HGNC:42	ABCB11	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	8647	NM_003742	O95342	ENSG00000073734
HGNC:51	ABCC1	MRP, MRP1	GS-X	4363	NM_004996	P33527	ENSG00000103222
HGNC:53	ABCC2	CMOAT	DJS, MRP2, cMRP	1244	NM_000392	Q92887	ENSG00000023839
HGNC:54	ABCC3		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	8714	NM_001144070	O15438	ENSG00000108846
